clientmetrics;Steam.ClientMetrics
contenthubs;Steam.ContentHubs
content_manifest;Steam.ContentManifest
encrypted_app_ticket;Steam.EncryptedAppTicket
enums;Steam.Enums
enums_clientserver;Steam.EnumsClientServer
enums_productinfo;Steam.EnumsProductInfo
htmlmessages;Steam.htmlMessages
offline_ticket;Steam.OfflineTicket
rendermessages;Steam.RenderMessages
steamdatagram_messages_auth;Steam.SDGMessagesAuth
steamdatagram_messages_sdr;Steam.SDGMessagesSRD
steammessages_accounthardware.steamclient;Steam.Messages.AccountHardware
steammessages_appoverview;Steam.Messages.AppoverView
steammessages_auth.steamclient;Steam.Messages.Auth
steammessages_base;Steam.Messages.Base
steammessages_broadcast.steamclient;Steam.Messages.Boadcast
steammessages_chat.steamclient;Steam.Messages.Chat
steammessages_clientlanp2p;Steam.Messages.ClientLanP2P
steammessages_clientmetrics.steamclient;Steam.Messages.ClientMetrics
steammessages_clientnotificationtypes;Steam.Messages.ClientNotificationTypes
steammessages_clientserver;Steam.Messages.ClientServer
steammessages_clientserver_2;Steam.Messages.ClientServer2
steammessages_clientserver_appinfo;Steam.Messages.ClientServer.Appinfo
steammessages_clientserver_friends;Steam.Messages.ClientServer.Friends
steammessages_clientserver_gameservers;Steam.Messages.ClientServer.GameServers
steammessages_clientserver_lbs;Steam.Messages.ClientServer.LBS
steammessages_clientserver_login;Steam.Messages.ClientServer.Login
steammessages_clientserver_mms;Steam.Messages.ClientServer.MMS
steammessages_clientserver_ucm;Steam.Messages.ClientServer.UCM
steammessages_clientserver_uds;Steam.Messages.ClientServer.UDS
steammessages_clientserver_ufs;Steam.Messages.ClientServer.UFS
steammessages_clientserver_userstats;Steam.Messages.ClientServer.UserStats
steammessages_clientserver_video;Steam.Messages.ClientServer.Video
steammessages_clientsettings;Steam.Messages.ClientSettings
steammessages_client_objects;Steam.Messages.ClientObjects
steammessages_cloud.steamclient;Steam.Messages.Cloud
steammessages_community.steamclient;Steam.Messages.Community
steammessages_contentsystem.steamclient;Steam.Messages.ContentSystem
steammessages_credentials.steamclient;Steam.Messages.Credentials
steammessages_datapublisher.steamclient;Steam.Messages.DataPublisher
steammessages_depotbuilder.steamclient;Steam.Messages.DepotBuilder
steammessages_deviceauth.steamclient;Steam.Messages.DeviceAuth
steammessages_econ.steamclient;Steam.Messages.Econ
